title,startDate,endDate,season,seasonYear,tags,format,status,episodes,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Steel Angel Kurumi,10-1999,4-2000,FALL,1999.0,"['Maids', 'Robots', 'Military', 'Female Harem', 'Heterosexual', 'Male Protagonist', 'Primarily Female Cast', 'Time Manipulation', 'Crossdressing', 'Historical', 'Nudity', 'Rural', 'Urban', 'Surreal Comedy', 'Trains', 'LGBTQ+ Themes', 'Guns', 'Shounen', 'Proxy Battle', 'Love Triangle', 'Demons']",TV_SHORT,FINISHED,24.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",4004,61.0,JP,ORIGINAL,OLM,3.0
Steel Angel Kurumi 2,4-2001,6-2001,SPRING,2001.0,"['Yuri', 'Robots', 'Maids', 'Love Triangle', 'Primarily Female Cast', 'Female Protagonist', 'Female Harem', 'Surreal Comedy', 'Nudity', 'Time Skip', 'School']",TV_SHORT,FINISHED,12.0,"['Comedy', 'Mecha', 'Romance', 'Sci-Fi']",1769,56.0,JP,ORIGINAL,OLM,4.0
Steel Angel Kurumi Zero,4-2001,6-2001,SPRING,2001.0,[],OVA,FINISHED,3.0,"['Drama', 'Romance', 'Sci-Fi']",1007,55.0,JP,ORIGINAL,OLM,22.0
Steel Angel Kurumi Encore,7-2000,10-2000,SUMMER,2000.0,"['Robots', 'Maids', 'Historical', 'Nudity']",OVA,FINISHED,4.0,"['Comedy', 'Romance', 'Sci-Fi']",1151,60.0,JP,ORIGINAL,OLM,11.0
Major S2,12-2005,6-2006,WINTER,2006.0,"['Baseball', 'Shounen', 'Male Protagonist', 'School', 'School Club', 'Primarily Teen Cast', 'Time Skip']",TV,FINISHED,26.0,"['Comedy', 'Drama', 'Sports']",11415,79.0,JP,MANGA,Studio Hibari,301.0
RahXephon Interlude: Her and Herself/Thatness and Thereness,7-2003,7-2003,SUMMER,2003.0,['Philosophy'],OVA,FINISHED,1.0,"['Drama', 'Psychological', 'Sci-Fi']",1486,57.0,JP,ORIGINAL,bones,17.0
Soukyuu no Fafner: RIGHT OF LEFT - single program,12-2005,12-2005,WINTER,2005.0,"['Tragedy', 'Aliens', 'Post-Apocalyptic', 'War', 'Military', 'Survival', 'Real Robot', 'Ensemble Cast']",SPECIAL,FINISHED,1.0,"['Drama', 'Mecha', 'Sci-Fi']",3398,69.0,JP,ORIGINAL,Production I.G,0.0
Sakura Wars,4-2000,9-2000,SPRING,2000.0,"['Acting', 'Musical', 'Primarily Female Cast', 'Ojou-sama', 'Super Robot']",TV,FINISHED,25.0,"['Adventure', 'Mecha', 'Sci-Fi']",5963,64.0,JP,VIDEO_GAME,MADHOUSE,21.0
Sakura Wars: The New Paris,10-2004,3-2005,FALL,2004.0,['Shounen'],OVA,FINISHED,3.0,"['Adventure', 'Mecha', 'Sci-Fi']",810,53.0,JP,,Radix,0.0
DNA²,10-1994,12-1994,FALL,1994.0,"['Love Triangle', 'Female Harem', 'Super Power', 'Shapeshifting', 'Urban Fantasy', 'Surreal Comedy', 'Shounen', 'Time Manipulation', 'Heterosexual', 'Nudity']",TV,FINISHED,12.0,"['Comedy', 'Romance', 'Sci-Fi']",7585,61.0,JP,MANGA,MADHOUSE,14.0
Puni Puni Poemy,3-2001,12-2001,SPRING,2001.0,"['Surreal Comedy', 'Parody', 'Meta', 'Henshin', 'Aliens', 'Primarily Female Cast', 'Magic', 'Female Protagonist', 'Nudity', 'Yuri']",OVA,FINISHED,2.0,"['Comedy', 'Mahou Shoujo', 'Sci-Fi']",5581,60.0,JP,ORIGINAL,J.C. Staff,13.0
Steamboy,7-2004,7-2004,SUMMER,2004.0,"['Steampunk', 'Male Protagonist', 'Military', 'Historical', 'Foreign', 'Ojou-sama', 'Fugitive']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",15221,69.0,JP,ORIGINAL,Horipro,6.0
Birdy the Mighty,7-1996,2-1997,SUMMER,1996.0,"['Shounen', 'Gender Bending', 'Body Swapping', 'Aliens', 'Female Protagonist', 'Urban', 'Henshin', 'Shapeshifting', 'Nudity', 'Super Power', 'Tokusatsu']",OVA,FINISHED,4.0,"['Action', 'Sci-Fi']",8038,67.0,JP,MANGA,MADHOUSE,4.0
The Big O,10-1999,1-2000,FALL,1999.0,"['Super Robot', 'Amnesia', 'Philosophy', 'Noir', 'Robots', 'Episodic', 'Butler', 'Dystopian', 'Real Robot', 'Foreign', 'Male Protagonist', 'Primarily Adult Cast', 'Kuudere', 'Politics', 'Cyberpunk', 'Steampunk', 'Police']",TV,FINISHED,13.0,"['Action', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi']",19657,73.0,JP,ORIGINAL,Sunrise,7.0
Bubblegum Crisis TOKYO 2040,10-1998,4-1999,FALL,1998.0,"['Cyberpunk', 'Robots', 'Artificial Intelligence', 'Primarily Adult Cast', 'Urban', 'Female Protagonist', 'Police', 'Heterosexual', 'Motorcycles', 'Primarily Female Cast', 'Band', 'Real Robot']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",6324,65.0,JP,ORIGINAL,AIC,13.0
The Irresponsible Captain Tylor,1-1993,7-1993,WINTER,1993.0,"['Space Opera', 'Military', 'Space', 'Parody', 'Primarily Adult Cast', 'Ensemble Cast', 'Aliens']",TV,FINISHED,26.0,"['Adventure', 'Comedy', 'Sci-Fi']",11650,74.0,JP,LIGHT_NOVEL,Tatsunoko Production,3.0
Jin-Roh: The Wolf Brigade,6-2000,6-2000,SPRING,2000.0,"['Conspiracy', 'Police', 'Espionage', 'Tragedy', 'Philosophy', 'Military', 'Dystopian', 'Politics', 'Noir', 'Terrorism', 'Fugitive', 'Fairy Tale', 'Seinen', 'Guns', 'Primarily Adult Cast', 'Gore', 'Male Protagonist', 'Nudity']",MOVIE,FINISHED,1.0,"['Action', 'Drama', 'Psychological', 'Romance', 'Thriller']",38912,76.0,JP,MANGA,Production I.G,217.0
Moldiver,2-1993,11-1993,WINTER,1993.0,"['Magic', 'Gender Bending', 'Idol']",OVA,FINISHED,6.0,"['Adventure', 'Comedy', 'Mecha', 'Romance', 'Sci-Fi']",1165,50.0,JP,ORIGINAL,AIC,23.0
Nausicaä of the Valley of the Wind,3-1984,3-1984,WINTER,1984.0,"['Environmental', 'Post-Apocalyptic', 'Lost Civilization', 'Female Protagonist', 'Philosophy', 'War', 'Aviation', 'Military', 'Kaiju', 'Survival', 'Guns', 'Politics', 'Anachronism', 'Cosmic Horror', 'Travel', 'Tanks', 'Orphan', 'Cult', 'Nudity']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",77125,81.0,JP,MANGA,Studio Hibari,64.0
