title,startDate,endDate,season,seasonYear,tags,format,status,episodes,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Digimon Tamers,4-2001,3-2002,SPRING,2001.0,"['Primarily Child Cast', 'Artificial Intelligence', 'Virtual World', 'Tragedy', 'Denpa', 'Animals', 'Kids', 'Cosmic Horror', 'Male Protagonist', 'Kaiju', 'Henshin', 'Card Battle', 'Dinosaurs', 'Kuudere', 'Anthropomorphism']",TV,FINISHED,51.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",30018,74.0,JP,ORIGINAL,Toei Animation,2.0
Mind Game,8-2004,8-2004,SUMMER,2004.0,"['Surreal Comedy', 'Reincarnation', 'Philosophy', 'Primarily Adult Cast', 'Male Protagonist', 'Afterlife', 'Seinen', 'Nudity', 'Swimming', 'Yakuza', 'Gods', 'Heterosexual', 'Rape']",MOVIE,FINISHED,1.0,"['Adventure', 'Comedy', 'Psychological', 'Romance']",21902,75.0,JP,MANGA,Horipro,252.0
Street Fighter II V,4-1995,11-1995,SPRING,1995.0,"['Martial Arts', 'Super Power']",TV,FINISHED,29.0,"['Adventure', 'Drama', 'Mystery']",3988,65.0,JP,VIDEO_GAME,Studio Hibari,14.0
NANA,4-2006,3-2007,SPRING,2006.0,"['Female Protagonist', 'Primarily Adult Cast', 'Band', 'Coming of Age', 'Tragedy', 'Love Triangle', 'Shoujo', 'Netorare', 'LGBTQ+ Themes', 'Heterosexual', 'College', 'Kuudere', 'Fashion', 'Ensemble Cast', 'Age Gap', 'Mahjong', 'Gyaru', 'Noir']",TV,FINISHED,47.0,"['Drama', 'Music', 'Romance', 'Slice of Life']",132825,85.0,JP,MANGA,MADHOUSE,69.0
Zegapain,4-2006,9-2006,SPRING,2006.0,"['Isekai', 'Artificial Intelligence', 'Post-Apocalyptic', 'Time Manipulation', 'Dystopian', 'Virtual World', 'Real Robot', 'Swimming', 'CGI', 'Male Protagonist', 'Aliens', 'Super Robot', 'Philosophy', 'Reincarnation']",TV,FINISHED,26.0,"['Action', 'Mecha', 'Romance', 'Sci-Fi']",7125,69.0,JP,ORIGINAL,Sunrise,35.0
Simoun,4-2006,9-2006,SPRING,2006.0,"['Coming of Age', 'Female Protagonist', 'Military', 'Yuri', 'Transgender', 'Gender Bending', 'War', 'Isekai', 'Primarily Female Cast', 'Religion', 'LGBTQ+ Themes', 'Aviation', 'Alternate Universe', 'Magic', 'Love Triangle', 'Steampunk', 'Lost Civilization', 'CGI', 'Super Power', 'Philosophy', 'Tragedy', 'Ensemble Cast', 'Incest', 'Gods', 'Time Manipulation', 'Time Skip']",TV,FINISHED,26.0,"['Drama', 'Fantasy', 'Romance']",8884,69.0,JP,ORIGINAL,Bandai Visual,37.0
Oh! My Goddess: Flights of Fancy,4-2006,9-2006,SPRING,2006.0,"['Magic', 'Gods', 'Primarily Adult Cast', 'Male Protagonist', 'Urban Fantasy', 'Seinen', 'College', 'Kuudere', 'Female Harem']",TV,FINISHED,22.0,"['Comedy', 'Romance', 'Supernatural']",8163,72.0,JP,MANGA,AIC,25.0
Green Green OVA,12-2002,12-2002,WINTER,2002.0,['School'],OVA,FINISHED,1.0,"['Comedy', 'Ecchi', 'Romance']",3384,51.0,JP,VISUAL_NOVEL,Media Factory,15.0
Yu Yu Hakusho: The Movie,7-1993,7-1993,SUMMER,1993.0,"['Super Power', 'Demons', 'Shounen', 'Primarily Male Cast', 'Male Protagonist']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Comedy']",6424,64.0,JP,MANGA,Studio Pierrot,9.0
Yu Yu Hakusho: The Movie - Poltergeist Report,4-1994,4-1994,SPRING,1994.0,"['Super Power', 'Demons', 'Shounen', 'Primarily Male Cast', 'Male Protagonist']",MOVIE,FINISHED,1.0,"['Action', 'Comedy', 'Supernatural']",5699,67.0,JP,MANGA,Studio Pierrot,7.0
Blade of the Phantom Master,12-2004,12-2004,FALL,2004.0,"['Super Power', 'Swordplay', 'Zombie', 'Afterlife', 'Guns']",MOVIE,FINISHED,1.0,"['Action', 'Fantasy']",2859,62.0,JP,MANGA,Shogakukan-Shueisha Productions,19.0
Angel's Egg,12-1985,12-1985,WINTER,1985.0,"['Philosophy', 'Dystopian', 'Lost Civilization', 'Mythology', 'Tragedy', 'Post-Apocalyptic', 'Cosmic Horror', 'Religion', 'Female Protagonist', 'Angels', 'Amnesia', 'Coming of Age', 'Survival', 'No Dialogue', 'Fairy Tale', 'Urban Fantasy', 'Foreign', 'Cultivation', 'Tanks', 'Age Regression']",OVA,FINISHED,1.0,"['Drama', 'Fantasy', 'Psychological']",44934,76.0,JP,ORIGINAL,Studio Gallop,94.0
Ah My Buddha Katsu,1-2006,3-2006,WINTER,2006.0,"['Female Harem', 'Kuudere', 'Seinen', 'Male Protagonist']",TV,FINISHED,12.0,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life', 'Supernatural']",6054,60.0,JP,MANGA,Studio DEEN,92.0
Megami Kouhosei Special Curriculum,5-2002,5-2002,SPRING,2002.0,"['Military', 'Space']",OVA,FINISHED,1.0,"['Action', 'Mecha', 'Sci-Fi']",677,53.0,JP,,Bandai Visual,0.0
Pilot Candidate,1-2000,3-2000,WINTER,2000.0,"['Military', 'Space', 'CGI', 'Super Robot', 'Male Protagonist', 'Kemonomimi', 'Aliens', 'Dystopian', 'Post-Apocalyptic', 'Tsundere', 'Seinen']",TV,FINISHED,12.0,"['Action', 'Mecha', 'Sci-Fi']",3260,55.0,JP,MANGA,Bandai Visual,38.0
Black Lagoon,4-2006,6-2006,SPRING,2006.0,"['Crime', 'Seinen', 'Guns', 'Pirates', 'Primarily Adult Cast', 'Anti-Hero', 'Gangs', 'Travel', 'Mafia', 'Assassins', 'Female Protagonist', 'Foreign', 'Tomboy', 'Ships', 'Male Protagonist', 'Military', 'Triads', 'Noir', 'Episodic', 'Maids', 'Politics', 'Nudity']",TV,FINISHED,12.0,"['Action', 'Adventure', 'Drama', 'Thriller']",174195,78.0,JP,MANGA,MADHOUSE,355.0
The King of Braves: GaoGaiGar,2-1997,1-1998,WINTER,1997.0,"['Super Robot', 'Robots', 'Cyborg', 'Aliens', 'Artificial Intelligence', 'Male Protagonist', 'Trains', 'Urban', 'Space', 'Family Life', 'School', 'CGI', 'Kuudere']",TV,FINISHED,49.0,"['Adventure', 'Mecha', 'Sci-Fi']",6327,74.0,JP,ORIGINAL,Sunrise,3.0
Dragon Ball: Sleeping Princess in Devil's Castle,7-1987,7-1987,SUMMER,1987.0,"['Shounen', 'Super Power', 'Martial Arts', 'Vampire', 'Male Protagonist']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Comedy', 'Supernatural']",11032,62.0,JP,MANGA,Toei Animation,0.0
Dragon Ball: Mystical Adventure,7-1988,7-1988,SUMMER,1988.0,"['Shounen', 'Martial Arts', 'Super Power', 'Dragons', 'Male Protagonist']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",10404,63.0,JP,MANGA,Toei Animation,0.0
Dragon Ball: The Path to Power,3-1996,3-1996,SPRING,1996.0,"['Shounen', 'Super Power', 'Martial Arts', 'Male Protagonist', 'Military']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",11161,67.0,JP,MANGA,Toei Animation,6.0
Dragon Ball Z: Dead Zone,7-1989,7-1989,SUMMER,1989.0,"['Shounen', 'Super Power', 'Martial Arts', 'Male Protagonist', 'Gods', 'Aliens', 'Demons']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",22189,62.0,JP,MANGA,Toei Animation,260.0
Dragon Ball Z: The World's Strongest,3-1990,3-1990,SPRING,1990.0,"['Super Power', 'Shounen', 'Primarily Male Cast', 'Male Protagonist', 'Martial Arts', 'Aliens', 'Robots', 'Primarily Adult Cast', 'Revenge']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",19745,61.0,JP,MANGA,Toei Animation,282.0
Dragon Ball Z: The Tree of Might,7-1990,7-1990,SUMMER,1990.0,"['Shounen', 'Super Power', 'Aliens', 'Martial Arts', 'Male Protagonist', 'Dragons']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",23904,62.0,JP,MANGA,Toei Animation,240.0
Dragon Ball Z: Lord Slug,3-1991,3-1991,SPRING,1991.0,"['Shounen', 'Super Power', 'Martial Arts', 'Aliens', 'Male Protagonist', 'Henshin', 'Dragons']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",22423,60.0,JP,MANGA,Toei Animation,256.0
Dragon Ball Z: Cooler's Revenge,7-1991,7-1991,SUMMER,1991.0,"['Martial Arts', 'Shounen', 'Super Power', 'Aliens', 'Male Protagonist', 'Henshin']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",27379,67.0,JP,MANGA,Toei Animation,208.0
Dragon Ball Z: The Return of Cooler,3-1992,3-1992,SPRING,1992.0,"['Martial Arts', 'Super Power', 'Shounen', 'Aliens', 'Henshin', 'Male Protagonist', 'Cyborg', 'Robots']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",24348,64.0,JP,MANGA,Toei Animation,232.0
Dragon Ball Z: Super Android 13!,7-1992,7-1992,SUMMER,1992.0,"['Robots', 'Shounen', 'Super Power', 'Male Protagonist', 'Martial Arts', 'Henshin', 'Aliens']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",22726,64.0,JP,MANGA,Toei Animation,255.0
Dragon Ball Z: Broly - The Legendary Super Saiyan,3-1993,3-1993,WINTER,1993.0,"['Shounen', 'Super Power', 'Martial Arts', 'Aliens', 'Male Protagonist', 'Henshin']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",30027,69.0,JP,MANGA,Toei Animation,193.0
Dragon Ball Z: Bojack Unbound,7-1993,7-1993,SUMMER,1993.0,"['Super Power', 'Martial Arts', 'Shounen', 'Aliens', 'Male Protagonist', 'Henshin', 'Gods']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",24340,67.0,JP,MANGA,Toei Animation,233.0
Dragon Ball Z: Broly - Second Coming,3-1994,3-1994,SPRING,1994.0,"['Super Power', 'Shounen', 'Aliens', 'Martial Arts', 'Demons', 'Henshin', 'Male Protagonist']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",26280,63.0,JP,MANGA,Toei Animation,213.0
Dragon Ball Z: Bio-Broly,7-1994,7-1994,SUMMER,1994.0,"['Shounen', 'Super Power', 'Aliens', 'Male Protagonist', 'Martial Arts', 'Henshin']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",24560,52.0,JP,MANGA,Toei Animation,230.0
Dragon Ball Z: Fusion Reborn,3-1995,3-1995,SPRING,1995.0,"['Shounen', 'Super Power', 'Demons', 'Male Protagonist', 'Martial Arts', 'Henshin', 'Aliens']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",30039,73.0,JP,MANGA,Toei Animation,192.0
Dragon Ball Z: Wrath of the Dragon,7-1995,7-1995,SUMMER,1995.0,"['Martial Arts', 'Shounen', 'Demons', 'Super Power', 'Aliens', 'Male Protagonist', 'Henshin', 'Superhero']",MOVIE,FINISHED,1.0,"['Action', 'Adventure', 'Sci-Fi']",26430,70.0,JP,MANGA,Toei Animation,211.0
Princess Princess,4-2006,6-2006,SPRING,2006.0,"['School', 'Crossdressing', 'Primarily Male Cast', 'Male Protagonist', 'Shoujo', 'Cosplay', ""Boys' Love"", 'Femboy', 'Yandere']",TV,FINISHED,12.0,['Comedy'],8039,64.0,JP,MANGA,Studio DEEN,70.0
Fullmetal Alchemist: Premium OVA Collection,3-2006,3-2006,SPRING,2006.0,"['Shounen', 'Chibi', 'Military', 'Ensemble Cast', 'Alchemy', 'POV']",OVA,FINISHED,3.0,"['Comedy', 'Fantasy']",10471,68.0,JP,ORIGINAL,bones,8.0
Geneshaft,4-2001,6-2001,SPRING,2001.0,"['Space', 'Super Robot', 'Dystopian', 'Cyberpunk', 'Real Robot', 'Aliens', 'Primarily Female Cast']",TV,FINISHED,13.0,"['Adventure', 'Mecha', 'Sci-Fi']",2517,56.0,JP,ORIGINAL,Bandai Visual,56.0
Himawari!,4-2006,7-2006,SPRING,2006.0,"['Ninja', 'School', 'Guns', 'Female Protagonist', 'Primarily Female Cast']",TV,FINISHED,13.0,"['Adventure', 'Comedy']",4059,56.0,JP,ORIGINAL,Arms,81.0
Zatch Bell! Attack of Mechavulcan,8-2005,8-2005,SUMMER,2005.0,['Shounen'],MOVIE,FINISHED,1.0,"['Adventure', 'Supernatural']",1522,64.0,JP,,Toei Animation,21.0
NINKU,1-1995,2-1996,WINTER,1995.0,"['Shounen', 'Martial Arts', 'Super Power', 'Ninja', 'Military', 'War']",TV,FINISHED,55.0,['Adventure'],1719,59.0,JP,MANGA,Studio Pierrot,22.0
Fighting Beauty Wulong,10-2005,3-2006,FALL,2005.0,"['Martial Arts', 'Seinen']",TV,FINISHED,25.0,"['Action', 'Ecchi']",1092,50.0,JP,MANGA,TMS Entertainment,99.0
The Ping-Pong Club,4-1995,9-1995,SPRING,1995.0,"['Table Tennis', 'Surreal Comedy', 'Satire', 'School', 'School Club', 'Seinen', 'Primarily Male Cast', 'Ensemble Cast']",TV,FINISHED,26.0,"['Comedy', 'Ecchi', 'Sports']",3452,65.0,JP,MANGA,Trans Arts,13.0
Ginga Densetsu Weed,11-2005,5-2006,FALL,2005.0,"['Shounen', 'Animals', 'Primarily Animal Cast', 'Primarily Male Cast', 'Coming of Age', 'Gore', 'Male Protagonist', 'War', 'Ninja', 'Revenge', 'Assassins', 'Ensemble Cast', 'Snowscape']",TV,FINISHED,26.0,"['Action', 'Adventure', 'Drama']",2247,65.0,JP,MANGA,Studio DEEN,48.0
Tokko,4-2006,7-2006,SPRING,2006.0,"['Police', 'Demons', 'Gore', 'Nudity']",TV,FINISHED,13.0,"['Action', 'Comedy', 'Horror', 'Mystery', 'Supernatural']",5613,57.0,JP,MANGA,Group TAC,69.0
Riding Bean,2-1989,2-1989,WINTER,1989.0,"['Crime', 'Fugitive', 'Cars', 'Foreign', 'Urban', 'Anti-Hero', 'Guns', 'Male Protagonist', 'Police', 'Primarily Adult Cast', 'Shounen', 'Nudity', 'Female Protagonist']",OVA,FINISHED,1.0,"['Action', 'Adventure', 'Comedy']",7065,68.0,JP,MANGA,Youmex,0.0
Gintama,4-2006,3-2010,SPRING,2006.0,"['Parody', 'Samurai', 'Ensemble Cast', 'Meta', 'Slapstick', 'Male Protagonist', 'Anachronism', 'Surreal Comedy', 'Found Family', 'Aliens', 'Episodic', 'Swordplay', 'Shounen', 'Police', 'Terrorism', 'Philosophy', 'Historical', 'Tragedy', 'Satire', 'Primarily Adult Cast', 'Space', 'Mopeds', 'Ninja', 'Sadism', 'Crime', 'Masochism', 'Oiran', 'LGBTQ+ Themes', 'Robots', 'Homeless', 'Crossdressing', 'Mafia', 'Ghost', 'Nekomimi', 'Boxing', 'Pirates', 'Educational', 'Fishing', 'Yakuza', 'CGI', 'Dissociative Identities', 'Kuudere', 'Body Swapping']",TV,FINISHED,201.0,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",216165,85.0,JP,MANGA,Sunrise,59.0
Ray,4-2006,6-2006,SPRING,2006.0,"['Medicine', 'Primarily Adult Cast', 'Work', 'Love Triangle', 'Ero Guro', 'Cute Girls Doing Cute Things', 'Female Protagonist', 'Seinen']",TV,FINISHED,13.0,"['Drama', 'Romance', 'Sci-Fi']",2805,59.0,JP,MANGA,OLM,98.0
Nurse Witch Komugi Special Ep: Hunch of another Festival,6-2003,6-2003,SUMMER,2003.0,"['Magic', 'Parody', 'Idol', 'Female Protagonist']",SPECIAL,FINISHED,1.0,"['Comedy', 'Mahou Shoujo']",1482,59.0,JP,ORIGINAL,ADV Films,0.0
Nurse Witch Komugi-chan Magikarte Z,9-2004,9-2005,FALL,2004.0,"['Parody', 'Henshin', 'Medicine', 'Magic', 'Female Protagonist', 'Urban Fantasy']",OVA,FINISHED,2.0,"['Comedy', 'Mahou Shoujo']",1710,61.0,JP,ORIGINAL,NBCUniversal Entertainment Japan,14.0
Transformers Super-God Masterforce,4-1988,3-1989,SPRING,1988.0,"['Primarily Male Cast', 'Robots', 'Super Robot']",TV,FINISHED,47.0,"['Adventure', 'Mecha', 'Sci-Fi']",721,56.0,JP,OTHER,Toei Animation,0.0
Transformers The Headmasters,7-1987,3-1988,SUMMER,1987.0,[],TV,FINISHED,35.0,"['Adventure', 'Mecha', 'Sci-Fi']",960,56.0,JP,OTHER,Toei Animation,0.0
Transformers Victory,3-1989,12-1989,SPRING,1989.0,"['Super Robot', 'Kids', 'Aliens', 'Robots', 'Adoption', 'Cars', 'Space', 'Dinosaurs', 'Military', 'Shapeshifting']",TV,FINISHED,44.0,"['Adventure', 'Mecha', 'Sci-Fi']",714,57.0,JP,OTHER,Toei Animation,0.0
Transformers: Energon,1-2004,12-2004,WINTER,2004.0,"['Robots', 'CGI', 'Space Opera', 'Cosmic Horror']",TV,FINISHED,51.0,"['Adventure', 'Mecha', 'Sci-Fi']",1257,54.0,JP,OTHER,Actas,88.0
Transformers: Cybertron,1-2005,12-2005,WINTER,2005.0,"['Robots', 'Space Opera', 'Aliens', 'Super Robot', 'Cars', 'Aviation', 'Kids', 'Travel']",TV,FINISHED,52.0,"['Adventure', 'Mecha', 'Sci-Fi']",1330,61.0,JP,OTHER,GONZO,69.0
Aura Battler Dunbine,2-1983,1-1984,WINTER,1983.0,"['Isekai', 'War', 'Military', 'Super Robot', 'Real Robot', 'Male Protagonist', 'Tragedy', 'Heterosexual', 'Ensemble Cast', 'Foreign']",TV,FINISHED,49.0,"['Adventure', 'Fantasy', 'Mecha', 'Sci-Fi']",4458,65.0,JP,ORIGINAL,Sunrise,0.0
Space Runaway Ideon,5-1980,1-1981,SPRING,1980.0,"['Cosmic Horror', 'Space Opera', 'War', 'Military', 'Fugitive', 'Super Robot', 'Ensemble Cast', 'Aliens', 'Tragedy', 'Travel', 'Space', 'Guns', 'Lost Civilization', 'Real Robot', 'Heterosexual', 'Samurai', 'Nudity']",TV,FINISHED,39.0,"['Drama', 'Mecha', 'Sci-Fi']",7066,70.0,JP,ORIGINAL,Sunrise,0.0
Ichigeki Sacchuu!! Hoihoi-san,9-2004,9-2004,FALL,2004.0,"['Robots', 'Female Protagonist', 'Primarily Female Cast']",OVA,FINISHED,1.0,"['Comedy', 'Sci-Fi', 'Slice of Life']",1984,56.0,JP,MANGA,Daume,27.0
Magical Witch Punie-Chan,3-2006,3-2007,SPRING,2006.0,"['Parody', 'Anti-Hero', 'Primarily Female Cast', 'Martial Arts', 'Anthropomorphism', 'Female Protagonist', 'Surreal Comedy', 'Henshin', 'Magic', 'Torture', 'Delinquents', 'Alternate Universe', 'Urban', 'Super Power', 'School', 'Guns', 'Athletics', 'CGI', 'Military']",OVA,FINISHED,8.0,"['Comedy', 'Mahou Shoujo', 'Supernatural']",6747,65.0,JP,MANGA,diomedéa,12.0
When They Cry,4-2006,9-2006,SPRING,2006.0,"['Denpa', 'Alternate Universe', 'Ensemble Cast', 'Time Manipulation', 'Tragedy', 'Rural', 'Conspiracy', 'Achronological Order', 'Gore', 'Time Loop', 'Body Horror', 'Bullying', 'Male Protagonist', 'Torture', 'Urban Fantasy', 'Yandere', 'Twins', 'Pandemic', 'Mythology', 'Primarily Female Cast', 'Female Protagonist', 'School Club', 'Primarily Teen Cast', 'Cosmic Horror', 'Shrine Maiden', 'Police', 'Historical', 'Crossdressing', 'Board Game']",TV,FINISHED,26.0,"['Horror', 'Mystery', 'Psychological', 'Supernatural', 'Thriller']",135495,75.0,JP,VISUAL_NOVEL,Studio DEEN,269.0
Witchblade,4-2006,9-2006,SPRING,2006.0,"['Super Power', 'MILF', 'Female Protagonist', 'Family Life', 'Tragedy', 'Primarily Adult Cast']",TV,FINISHED,24.0,"['Action', 'Sci-Fi']",15804,67.0,JP,OTHER,GONZO,48.0
Naruto the Movie: Legend of the Stone of Gelel,8-2005,8-2005,SUMMER,2005.0,"['Ninja', 'Shounen', 'Super Power', 'Lost Civilization', 'Primarily Child Cast', 'Male Protagonist', 'Orphan', 'Martial Arts', 'Historical', 'Travel']",MOVIE,FINISHED,1.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural']",35777,65.0,JP,MANGA,Studio Pierrot,161.0
Appleseed,4-1988,4-1988,SPRING,1988.0,"['Police', 'Cyberpunk', 'Female Protagonist', 'Terrorism', 'Primarily Adult Cast', 'Robots', 'Real Robot', 'Urban', 'Seinen', 'Post-Apocalyptic', 'Artificial Intelligence', 'Guns', 'Philosophy']",OVA,FINISHED,1.0,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",6082,58.0,JP,MANGA,Bandai Visual,0.0
Shin Getter Robo vs. Neo Getter Robo,12-2000,6-2001,FALL,2000.0,"['Super Robot', 'Shounen', 'Ensemble Cast', 'Dinosaurs']",OVA,FINISHED,4.0,"['Action', 'Mecha', 'Sci-Fi']",2358,69.0,JP,,Bandai Visual,3.0
Inukami!,4-2006,9-2006,SPRING,2006.0,"['Youkai', 'Slapstick', 'Magic', 'Female Harem', 'Super Power', 'Mythology']",TV,FINISHED,26.0,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']",8813,66.0,JP,LIGHT_NOVEL,Seven Arcs,54.0
Renkin San-kyuu Magical? Pokaan,4-2006,6-2006,SPRING,2006.0,"['Magic', 'Vampire', 'Witch', 'Parody', 'Primarily Female Cast', 'Surreal Comedy', 'Cute Girls Doing Cute Things', 'Werewolf', 'Monster Girl', 'Robots', 'Kemonomimi', 'Nudity', 'Card Battle']",TV,FINISHED,12.0,"['Comedy', 'Ecchi']",6990,65.0,JP,ORIGINAL,Remic,62.0
The Good Witch Of The West,4-2006,7-2006,SPRING,2006.0,"['Politics', 'Female Protagonist', 'Dragons', 'Magic']",TV,FINISHED,13.0,"['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance']",2830,58.0,JP,LIGHT_NOVEL,Hal Film Maker,96.0
Yume Tsukai,4-2006,6-2006,SPRING,2006.0,"['Shrine Maiden', 'Magic', 'School', 'Female Protagonist', 'Primarily Female Cast', 'Tragedy', 'LGBTQ+ Themes']",TV,FINISHED,12.0,"['Comedy', 'Drama', 'Slice of Life', 'Supernatural']",2015,55.0,JP,MANGA,MADHOUSE,0.0
The Third: The Girl with the Blue Eye,4-2006,10-2006,SPRING,2006.0,"['Female Protagonist', 'Post-Apocalyptic', 'Swordplay', 'Tanks', 'Guns', 'Tragedy', 'Urban Fantasy', 'Lost Civilization', 'Robots']",TV,FINISHED,24.0,"['Action', 'Adventure', 'Sci-Fi']",3263,67.0,JP,LIGHT_NOVEL,Xebec,46.0
Gunbuster,10-1988,7-1989,FALL,1988.0,"['Space', 'Female Protagonist', 'Coming of Age', 'Military', 'Super Robot', 'Space Opera', 'War', 'Time Manipulation', 'Primarily Female Cast', 'Time Skip', 'Aliens', 'Cosmic Horror', 'Tragedy', 'Kaiju', 'Bullying', 'Travel', 'Nudity', 'Henshin', 'Love Triangle', 'Philosophy', 'Tomboy', 'Heterosexual', 'Astronomy', 'Achromatic', 'Parody', 'School']",OVA,FINISHED,6.0,"['Action', 'Drama', 'Mecha', 'Sci-Fi']",35188,76.0,JP,ORIGINAL,Gainax,68.0
Street Fighter Alpha: Generations,10-2005,10-2005,FALL,2005.0,[],OVA,FINISHED,1.0,['Adventure'],2061,58.0,JP,VIDEO_GAME,APPP,29.0
Chibi Maruko-chan,1-1990,9-1992,WINTER,1990.0,"['Family Life', 'Shoujo', 'Chibi', 'Female Protagonist', 'Episodic', 'Primarily Child Cast', 'Historical', 'Autobiographical', 'Slapstick']",TV,FINISHED,142.0,"['Comedy', 'Slice of Life']",2607,69.0,JP,MANGA,Nippon Animation,4.0
Magical Meow Meow Taruto,7-2001,9-2001,SUMMER,2001.0,"['Magic', 'Kemonomimi', 'Dissociative Identities', 'Nekomimi', 'Isekai', 'Shapeshifting']",TV,FINISHED,12.0,"['Comedy', 'Mahou Shoujo']",1743,53.0,JP,MANGA,MADHOUSE,61.0
Jyu-Oh-Sei: Planet of the Beast King,4-2006,6-2006,SPRING,2006.0,"['Survival', 'Male Protagonist', 'Tragedy', 'Shoujo', 'Time Skip', 'Twins', 'Primarily Male Cast']",TV,FINISHED,11.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi']",9476,66.0,JP,MANGA,bones,57.0
Dino Mech Gaiking,4-1976,1-1977,SPRING,1976.0,"['Super Robot', 'Aliens', 'Space', 'Male Protagonist', 'Ensemble Cast', 'Episodic']",TV,FINISHED,44.0,"['Adventure', 'Mecha', 'Sci-Fi']",788,53.0,JP,ORIGINAL,Toei Animation,0.0
The Story of Saiunkoku,4-2006,2-2007,SPRING,2006.0,"['Female Protagonist', 'Politics', 'Historical', 'Shoujo', 'Foreign', 'Coming of Age', 'Ensemble Cast', 'Philosophy', 'Work', 'Mythology', 'Urban', 'Royal Affairs', 'Swordplay', 'Bullying', 'Family Life', 'Assassins', 'Primarily Adult Cast', 'Travel', 'Ghost', 'Primarily Male Cast', 'War', 'Bisexual', 'Heterosexual', 'Crime', 'Dissociative Identities', 'Marriage', 'Found Family', 'Male Harem']",TV,FINISHED,39.0,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",12445,74.0,JP,LIGHT_NOVEL,MADHOUSE,21.0
Heat Guy J,10-2002,3-2003,FALL,2002.0,"['Police', 'Mafia', 'Urban', 'Guns', 'Episodic', 'Revenge', 'Robots', 'Werewolf', 'Artificial Intelligence']",TV,FINISHED,25.0,"['Action', 'Adventure', 'Mecha', 'Sci-Fi']",3479,63.0,JP,ORIGINAL,Bandai Visual,42.0
Legend of Condor Hero,4-2001,10-2002,SPRING,2001.0,"['Historical', 'Martial Arts', 'Rape']",TV,FINISHED,26.0,"['Adventure', 'Drama', 'Romance']",1529,65.0,JP,OTHER,Nippon Animation,30.0
Legend of the Condor Hero II,1-2005,9-2006,WINTER,2005.0,['Historical'],TV,FINISHED,26.0,"['Adventure', 'Drama', 'Romance']",603,62.0,JP,OTHER,Jade Animation,65.0
Virtua Fighter,10-1995,6-1996,FALL,1995.0,"['Martial Arts', 'Male Protagonist']",TV,FINISHED,35.0,"['Action', 'Adventure', 'Comedy']",1984,65.0,JP,VIDEO_GAME,Tokyo Movie Shinsha,15.0
ARIA The NATURAL,4-2006,9-2006,SPRING,2006.0,"['Iyashikei', 'Work', 'Foreign', 'Urban Fantasy', 'Philosophy', 'Primarily Teen Cast', 'Female Protagonist', 'Primarily Female Cast', 'Animals', 'Ensemble Cast', 'Coming of Age', 'Episodic', 'Space', 'Chibi', 'Ships', 'Urban', 'Shounen', 'Gender Bending', 'Tanned Skin', 'Cute Girls Doing Cute Things']",TV,FINISHED,26.0,"['Fantasy', 'Sci-Fi', 'Slice of Life']",19184,81.0,JP,MANGA,Hal Film Maker,204.0
"Love Hina: Motoko's Choice, Love or the Sword: Don't Cry",9-2000,9-2000,FALL,2000.0,"['Swordplay', 'Shounen', 'Heterosexual']",SPECIAL,FINISHED,1.0,"['Drama', 'Ecchi', 'Romance', 'Slice of Life']",5069,66.0,JP,,Funimation,0.0
Smash Hit,3-2004,4-2004,SPRING,2004.0,"['Office Lady', 'Primarily Adult Cast', 'Female Protagonist', 'Work', 'Nudity']",TV_SHORT,FINISHED,8.0,"['Comedy', 'Ecchi']",1363,46.0,JP,ORIGINAL,m.o.e.,14.0
